Stock-ticker,Company Name,Sector,Mkt Cap,Added
GRMN,Garmin,Household Durables,25.46B,No
GRUB,Just Eat Takeaway.com,Internet & Direct Marketing Retail,11.65B,No
GS,The Goldman Sachs Group,Capital Markets,127.07B,No
GSK,GlaxoSmithKline,Pharmaceuticals,114.40B,No
GTLB,GitLab,Software-Application,9.28B,No
GWRE,Guidewire Software,Software,8.64B,No
GWW,W.W. Grainger,Trading Companies & Distributors,25.99B,No
GXO,GXO Logistics,Specialty Business Services,10.47B,No
H,Hyatt Hotels,"Hotels, Restaurants & Leisure",10.14B,No
HAL,Halliburton Company,Energy Equipment & Services,25.73B,No
HAS,Hasbro,Leisure Products,13.81B,No
HBAN,Huntington Bancshares,Banks,25.50B,No
HCA,HCA Healthcare,Health Care Providers & Services,79.93B,No
HCP,HashiCorp,Software-Infrastructure,11.93B,No
HD,The Home Depot,Specialty Retail,388.46B,No
HDB,HDFC Bank,Banks,132.53B,No
HEI,HEICO,Aerospace & Defense,18.83B,No
HEI.A,HEICO,Aerospace & Defense,18.83B,No
HES,Hess Corporation,"Oil, Gas & Consumable Fuels",28.43B,No
HIG,The Hartford Financial Services Group,Insurance,24.66B,No
HLT,Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure",41.25B,No
HMC,Honda Motor Company,Automobiles,52.99B,No
HNP,Huaneng Power International,Independent Power and Renewable Elect...,8.57B,No
HOLX,Hologic,Health Care Equipment & Supplies,17.50B,No
HON,Honeywell International,Industrial Conglomerates,149.84B,No
HOOD,Robinhood Markets,Software-Infrastructure,12.68B,No
HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph...",22.71B,No
HPQ,HP Inc.,"Technology Hardware, Storage & Periph...",41.60B,No
HRL,Hormel Foods,Food Products,26.63B,No
HSBC,HSBC Holdings,Banks,143.82B,No
HSIC,Henry Schein,Health Care Providers & Services,10.79B,No
HST,Host Hotels & Resorts,Equity Real Estate Investment Trusts...,12.81B,No
HSY,The Hershey Company,Food Products,41.10B,No
HTHT,Huazhu Group,"Hotels, Restaurants & Leisure",11.16B,No
HTZ,Hertz Global Holdings,Rental & Leasing Services,11.12B,No
HUBB,Hubbell,Electrical Equipment,10.88B,No
HUBS,HubSpot,Software,21.84B,No
HUM,Humana,Health Care Providers & Services,50.34B,No
HUN,Huntsman,Chemicals,8.34B,No
HWM,Howmet Aerospace,Aerospace & Defense,14.98B,No
HZNP,Horizon Therapeutics,Pharmaceuticals,20.66B,No
IAC,IAC/InterActiveCorp,Interactive Media & Services,11.77B,No
IBKR,Interactive Brokers Group,Capital Markets,31.16B,No
IBM,International Business Machines,IT Services,120.30B,No
IBN,ICICI Bank,Banks,76.97B,No
ICE,Intercontinental Exchange,Capital Markets,71.33B,No
ICL,ICL Group,Chemicals,14.21B,No
ICLR,ICON plc,Life Sciences Tools & Services,21.23B,No
IDXX,IDEXX Laboratories,Health Care Equipment & Supplies,44.89B,No
IEP,Icahn Enterprises,Industrial Conglomerates,15.23B,No
IEX,IDEX Corporation,Machinery,16.75B,No
IFF,International Flavors & Fragrances,Chemicals,37.11B,No
IHG,InterContinental Hotels Group,"Hotels, Restaurants & Leisure",12.47B,No
ILMN,Illumina,Life Sciences Tools & Services,63.32B,No
IMO,Imperial Oil,"Oil, Gas & Consumable Fuels",28.35B,No
INCY,Incyte,Biotechnology,16.54B,No
INFO,IHS Markit,Professional Services,48.57B,No
